skin_L skin_A skin_B eye_r eye_g eye_b eye_L eye_A eye_B hair_L hair_A hair_B hair_r1 hair_g1 hair_b1 hair_r2 hair_g2 hair_b2 hair_r3 hair_g3 hair_b3
143.941622 127.788591 108.383716 84 76 66 90.535714 126.023810 123.690476 128.070991 128.070991 126.286002 58 55 51 84 80 76 22 18 25 
140.471491 127.980497 106.840903 59 44 44 49.425000 131.762500 120.125000 128.353640 128.353640 127.816625 30 33 37 70 67 63 103 96 89 
131.094368 128.118111 107.570685 37 37 44 40.855263 130.736842 129.263158 127.907496 127.907496 129.879131 26 33 37 59 63 63 85 89 89 
114.822820 128.949697 108.923287 122 92 67 104.037500 124.350000 112.112500 128.528026 128.528026 129.139772 44 48 52 0 11 20 74 78 78 
105.659389 127.821270 113.320523 36 36 40 38.409524 129.257143 129.571429 127.766213 127.766213 127.120954 36 40 40 6 9 15 81 74 66 
142.984235 126.547235 106.004668 45 38 41 39.722222 130.902778 123.888889 129.191156 129.191156 131.203346 41 45 49 11 15 22 71 75 75 
129.662004 127.265561 105.636512 52 44 44 48.100000 129.637500 124.275000 127.921294 127.921294 127.437369 37 41 41 74 70 67 103 100 92 
95.294306 128.728162 110.263907 36 34 36 35.845238 129.583333 127.750000 128.613589 128.613589 132.110124 24 32 36 54 58 62 84 92 88 
97.859275 129.330879 112.467651 38 34 38 36.171053 130.907895 125.894737 128.443691 128.443691 131.016834 27 30 34 57 61 61 84 88 88 
97.959568 129.595547 111.114445 46 35 35 46.518519 130.370370 119.962963 127.093325 127.093325 126.873104 39 42 42 100 85 73 12 17 17 
116.341496 126.740710 109.626099 48 45 45 50.375000 129.487500 125.925000 127.864825 127.864825 130.757898 34 41 45 63 71 71 89 97 97 
123.717719 126.859018 106.273584 25 27 33 29.095238 130.595238 130.214286 127.642604 127.642604 131.810264 27 35 39 58 66 66 89 97 93 
117.539932 128.632906 107.798764 30 33 41 34.012500 130.837500 131.100000 128.745645 128.745645 130.379339 37 41 44 0 11 18 67 70 70 
104.870215 131.598320 112.132710 44 40 44 43.175439 129.947368 126.719298 127.395039 127.395039 130.889714 44 52 56 94 86 82 17 25 29 
109.593166 128.717927 108.187534 29 29 35 29.403509 131.210526 128.789474 127.946977 127.946977 129.417514 29 33 36 59 63 63 86 90 88 
132.366362 127.303831 105.169337 52 41 37 47.587500 129.212500 119.662500 128.302426 128.302426 129.466058 4 11 19 41 45 45 67 71 71 
93.181292 129.189727 114.167486 38 34 38 32.964912 129.929825 126.649123 127.398144 127.398144 128.228337 34 38 38 91 76 65 122 120 116 
126.242667 127.871924 107.102159 53 46 50 51.425000 130.075000 125.750000 128.839274 128.839274 132.549437 28 35 42 57 64 68 83 90 94 
97.817783 128.563352 112.759921 40 34 34 38.881579 129.394737 124.644737 128.139134 128.139134 129.366766 26 30 34 62 64 60 89 91 87 
119.487954 128.968043 108.197974 70 55 52 62.800000 129.450000 119.650000 126.941377 126.941377 127.104049 41 44 44 81 78 70 107 103 96 
95.797897 129.442489 111.901863 39 33 35 33.777778 129.944444 123.791667 126.251891 126.251891 123.383725 47 43 35 98 78 63 12 10 8 
121.683411 128.635350 106.460254 30 34 39 35.870370 129.925926 131.222222 128.613539 128.613539 130.258325 45 48 48 4 11 19 71 74 74 
116.139392 127.146189 108.088851 38 38 41 39.462500 128.862500 128.712500 127.573139 127.573139 132.094244 30 38 41 60 68 68 86 98 94 
119.520237 127.881481 110.240676 52 41 41 55.500000 130.733333 122.433333 125.104742 125.104742 116.673800 100 81 59 129 111 89 55 44 33 
122.426520 127.622202 105.949969 55 44 41 49.733333 129.350000 121.133333 128.487803 128.487803 132.758770 37 44 48 7 15 22 70 78 78 
153.528185 126.507072 109.073361 47 43 50 52.152778 132.013889 127.458333 127.184463 127.184463 123.986001 47 50 54 75 79 79 126 119 104 
128.517125 129.141574 108.558031 45 38 45 41.226190 132.809524 126.666667 130.116539 130.116539 131.972540 22 30 38 56 60 64 86 90 94 
121.573519 128.405019 109.215447 47 43 43 44.210526 129.868421 125.434211 128.600148 128.600148 132.644997 24 32 36 51 58 62 81 88 88 
113.435536 128.263558 108.350958 41 41 44 41.462500 129.712500 127.787500 128.293062 128.293062 131.377150 30 37 41 63 67 67 89 92 92 
151.258127 126.417153 110.464359 91 84 77 84.875000 127.125000 122.450000 130.016057 130.016057 131.097623 31 42 52 80 77 77 115 112 108 
137.888747 128.368022 107.630179 36 36 40 38.462500 130.112500 128.262500 128.478541 128.478541 131.360398 40 43 47 2 9 17 66 70 72 
118.240224 128.774791 109.982931 42 34 42 37.869048 131.869048 125.702381 128.363947 128.363947 127.369629 30 34 38 80 72 65 107 99 91 
131.844826 129.147889 106.866003 47 43 47 49.904762 130.904762 126.607143 128.818811 128.818811 132.304457 43 50 54 17 20 28 69 76 80 
140.373044 129.155397 105.986387 49 45 45 50.607143 129.559524 124.297619 129.128228 129.128228 131.396953 38 41 45 64 68 71 8 11 19 
122.953240 129.529995 110.466590 36 36 43 40.105263 131.894737 128.421053 128.807749 128.807749 130.484491 40 47 51 89 81 77 6 13 25 
95.759804 130.473961 113.543270 44 36 38 60.438596 130.052632 123.280702 127.712800 127.712800 127.399122 33 36 36 71 67 63 102 94 90 
125.379765 128.652214 108.784362 42 38 46 42.671053 131.894737 127.789474 128.534818 128.534818 131.822399 38 42 46 65 72 72 8 11 19 
112.910397 129.292604 111.014301 37 37 43 40.315789 130.368421 129.013158 128.388828 128.388828 128.460673 37 41 45 78 74 71 4 11 19 
135.328072 127.937147 108.882790 65 50 47 54.475000 129.962500 119.400000 129.116531 129.116531 133.435670 20 28 35 54 61 65 84 91 95 
122.455126 128.399721 109.757154 46 42 46 48.159091 129.852273 126.147727 127.919946 127.919946 132.341327 30 38 42 0 10 15 57 65 69 
113.891970 130.226403 109.360196 32 32 36 37.250000 130.902778 127.166667 128.663457 128.663457 129.518847 28 32 36 59 62 62 89 93 93 
119.925162 129.477301 106.312834 37 33 37 39.754386 130.842105 126.894737 128.654810 128.654810 130.201813 29 33 37 57 61 65 84 92 92 
123.811425 129.006354 108.063450 37 31 35 31.907407 131.518519 124.944444 128.713566 128.713566 130.454584 27 31 35 58 62 62 85 89 89 
142.867682 126.975281 108.358409 32 32 39 33.129630 131.722222 129.259259 129.506741 129.506741 131.003330 20 28 35 50 58 61 84 91 95 
147.056221 127.055678 108.010737 80 80 76 80.592105 127.328947 128.973684 127.693497 127.693497 127.107752 27 30 34 72 70 69 103 99 95 
167.636768 128.801700 109.663048 60 41 30 51.368421 130.565789 114.750000 129.485900 129.485900 129.870380 0 9 15 34 38 41 60 64 68 
209.286586 127.421781 131.622114 242 251 255 252.000000 128.000000 133.000000 127.697382 127.697382 128.997693 4 8 11 34 38 38 61 65 65 
174.312147 128.696652 111.674240 52 38 34 57.351852 130.111111 118.074074 127.629049 127.629049 123.992682 34 30 26 68 60 52 94 86 79 
168.504521 128.321790 110.786186 34 26 30 25.314815 132.462963 122.222222 129.011691 129.011691 124.141565 30 26 26 60 52 52 109 90 79 
