skin_L skin_A skin_B eye_r eye_g eye_b eye_L eye_A eye_B hair_L hair_A hair_B hair_r1 hair_g1 hair_b1 hair_r2 hair_g2 hair_b2 hair_r3 hair_g3 hair_b3
113.435536 128.263558 108.350958 41 41 44 50.678571 129.511905 127.880952 128.480085 128.480085 131.410370 30 37 41 63 67 67 89 92 92 
151.258127 126.417153 110.464359 73 70 73 84.047619 128.583333 124.880952 129.848327 129.848327 130.678659 31 42 52 80 77 77 126 115 105 
137.888747 128.368022 107.630179 36 36 40 40.880952 130.666667 128.357143 128.526335 128.526335 131.687014 40 43 47 2 9 17 66 70 72 
118.240224 128.774791 109.982931 42 38 42 47.897727 131.443182 125.227273 128.542250 128.542250 127.750953 30 34 38 72 69 65 99 95 95 
131.844826 129.147889 106.866003 47 43 47 66.250000 130.534091 126.431818 128.888816 128.888816 132.405263 43 50 54 17 20 28 69 76 80 
140.373044 129.155397 105.986387 54 49 49 69.659091 129.965909 125.113636 129.185042 129.185042 131.551580 38 41 45 64 68 71 8 11 19 
122.953240 129.529995 110.466590 32 32 40 57.125000 131.600000 127.725000 128.767169 128.767169 130.316609 40 47 51 89 81 77 134 115 104 
95.759804 130.473961 113.543270 36 33 33 54.066667 128.866667 126.816667 127.752689 127.752689 127.614447 33 36 36 71 67 63 100 94 90 
125.379765 128.652214 108.784362 40 38 49 51.837500 132.275000 128.500000 128.511428 128.511428 131.866308 38 42 46 65 72 72 8 11 19 
112.910397 129.292604 111.014301 34 34 41 41.987500 130.800000 129.337500 128.551520 128.551520 129.224697 37 41 45 67 71 71 4 11 19 
135.328072 127.937147 108.882790 61 47 43 75.511905 129.535714 121.440476 129.252391 129.252391 133.880474 20 28 35 47 58 61 76 84 87 
122.455126 128.399721 109.757154 49 46 49 68.260870 129.891304 125.054348 127.963279 127.963279 132.736837 30 38 42 0 10 15 57 65 69 
